ogc_fid,page_no,track_id,start_lon,start_lat,end_lon,end_lat
2382,854,0,11.70706,48.142128,11.5912628,48.1309962
2383,855,0,11.5912843,48.1309748,11.6787887,48.1102896
2384,856,0,11.6787887,48.1102896,11.603296,48.18394
2385,857,0,11.603021,48.183877,11.5031215,48.1257583
2386,858,0,11.5031201,48.1257563,11.5021784,48.105296
2387,859,0,11.5021984,48.1054304,11.5760317,48.1601844
2388,85,0,11.4025659,48.1745271,11.3941309,48.1662241
2389,85,1,11.7209896,48.175738,11.7209463,48.1758426
2390,860,0,11.5760351,48.1601829,11.528384,48.097552
2391,861,0,11.5283616,48.097488,11.5738456,48.1332864
2392,862,0,11.5738192,48.1333088,11.574296,48.1605696
2393,863,0,11.5743576,48.1605568,11.502316,48.097428
2394,864,0,11.502348,48.097399,11.558846,48.100524
2395,865,0,11.558825,48.100482,11.4609767,48.2102796
2396,866,0,11.461093,48.2100106,11.567221,48.176525
2397,867,0,11.567694,48.176655,11.53201,48.119374
2398,868,0,11.53201,48.119374,11.534455,48.120431
2399,869,0,11.534363,48.120447,11.53233,48.119295
2400,86,0,11.3940435,48.1662098,11.5469622,48.0860049
2401,870,0,11.53233,48.119295,11.53197,48.119342
2402,871,0,11.53197,48.119342,11.4973,48.1001383
2403,872,0,11.497525,48.1002567,11.63758,48.194455
2404,873,0,11.63762,48.1945117,11.544339,48.126161
2405,874,0,11.544321,48.126207,11.5157523,48.1678537
2406,875,0,11.5158186,48.1678394,11.57388,48.109645
2407,876,0,11.57388,48.109645,11.695685,48.1405883
2408,877,0,11.6955733,48.140595,11.522251,48.106706
2409,878,0,11.522314,48.106739,11.65711,48.139089
2410,879,0,11.657556,48.138905,11.381955,48.0659933
2411,87,0,11.5469507,48.0859898,11.496845,48.1165676
2412,880,0,11.3819667,48.0659917,11.47337,48.0616983
2413,880,1,11.6364933,48.1680421,11.640617,48.167307
2414,881,0,11.640637,48.1673092,11.6348357,48.1665269
2415,881,1,11.4881067,48.102875,11.488975,48.10279
2416,882,0,11.488975,48.10279,11.701395,48.22625
2417,883,0,11.701355,48.226252,11.5026233,48.1213567
2418,884,0,11.502625,48.1214983,11.4931933,48.0980567
2419,885,0,11.4933983,48.0981533,11.560964,48.108602
2420,886,0,11.560985,48.108646,11.476427,48.115582
2421,887,0,11.476318,48.11555,11.468527,48.117592
2422,888,0,11.46851,48.117593,11.4306633,48.1036517
2423,889,0,11.4303583,48.1037583,11.3939067,48.1477367
2424,88,0,11.4969317,48.1165534,11.5347571,48.1040803
2425,88,1,11.5324733,48.099935,11.6486682,48.1398456
2426,890,0,11.3938717,48.1474483,11.517543,48.111318
2427,891,0,11.517555,48.111286,11.5104767,48.1689733
2428,892,0,11.5105183,48.1690983,11.5489,48.149455
2429,893,0,11.5489,48.14946,11.5351967,48.1809483
2430,894,0,11.5352033,48.1809517,11.398055,48.1368217
2431,895,0,11.3979167,48.1370817,11.5159217,48.10962
2432,896,0,11.5159417,48.10963,11.4964602,48.1652168
2433,897,0,11.4964036,48.165222,11.708213,48.175888
2434,898,0,11.708265,48.175908,11.5340643,48.1409443
2435,898,1,11.6353369,48.1680536,11.6460013,48.1677318
2436,899,0,11.5340536,48.1408829,11.618176,48.199112
2437,89,0,11.6487092,48.1398434,11.5815203,48.1280825
2438,8,0,11.584637,48.1983036,11.533382,48.1000324
2439,8,1,11.3788984,48.1306463,11.379132,48.1306323
2440,8,2,11.360828,48.170144,11.420948,48.160766
2441,900,0,11.61829,48.199337,11.5817499,48.1000938
2442,901,0,11.581728,48.0999413,11.487335,48.085992
2443,902,0,11.487388,48.085941,11.5511713,48.0904045
2444,903,0,11.5512457,48.0904884,11.61791,48.08104
2445,904,0,11.61797,48.08099,11.5388833,48.17634
2446,905,0,11.5387283,48.17628,11.550442,48.171171
2447,907,0,11.516293,48.090341,11.3967767,48.2065833
2448,908,0,11.39637,48.2066317,11.5084983,48.15311
2449,909,0,11.5084717,48.1530933,11.5479042,48.1523883
2450,90,0,11.5814582,48.1280911,11.5333931,48.1000273
2451,90,1,11.4746189,48.0622243,11.3615584,48.1144201
2452,90,2,11.3608529,48.2475044,11.6651845,48.0916857
2453,90,3,11.5412249,48.100577,11.546,48.1024483
2454,910,0,11.5478258,48.1523458,11.495347,48.1246877
